page,link,user,title,body,rating
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r879903026-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,jenv3670,Sitting at the table,We are on our 3rd day here in Bora Bora but definitely everything lives up to the hype. Gorgeous setting of mount Otemanu at sunset. They give you the most delicious tapas to try throughout dinner including dessert. It is pricer but worth the experience. Service from all the wait staff was fantastic from the moment we hit the dock at the entrance with everyone greeting us by name. Our server Clement was so lovely and accommodating to all our requests. Thank you for making our 20th anniversary so memorable!! - Mr. & Mrs. Villegas,4
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r879004144-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,266pattie,Lagoon,Julie at the lagoon provided wonderful service. The food was outstanding! From the tuna appetizer to the mahi-mahi and dessert - it all was incredible. Would recommend this restaurant to anyone visiting Nora Bora truly outstanding.,5
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r878734255-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,michelleissorad,"Absolutely delicious, just not much variety.","The service was impeccable, and the whole evening was well paced. They were vigilant regarding my partner’s food allergy and were generous in making sure we were comfortable. I am a 4/5 because there was not much variety in the menu from a food perspective. Every dish we had was exceptional, but a bit more variety would have me coming back for more.",4
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r877263180-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,lynziedesign,Magnificent Food and Service!,"Our dining experience was superb and one of the best meals we’ve had anywhere in the world. Truly a five star experience. Our server, Clement, had impeccable manners and recommendations. Truly delightful and the food was perfection, from the appetizer to the dessert. Highly recommended, an experience not to be missed!",5
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r877211279-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,513claudef,Amazing restaurant in St. Regis Resort,"The St. Regis Resort in Bora Bora has several places to eat. The Lagoon French-Asian one is one of these that is definitely worth the visit. You will need a reservation usually, but it is worth it. We had a server Lucille who was extremely nice. Her partner, Raomain was the Chief and we would give both excellent reviews.",5
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r874917241-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,D3804RRadriennes,Phenomenal experience!,"Our butler assured us that this restaurant was the best restaurant on St. Regis. She was absolutely right! My wife and I couldn’t imagine a better experience to conclude our honeymoon trip. The service was incredible (Shoutout to our favorite waiter, Clement!). The scenery was breathtaking. The food was Micheline Star worthy. This was certainly time and money well spent. Take time to get to know the staff - you won’t regret it!",5
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r874273170-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Maria D,Top Notch for Vegans!,Super accommodating to our vegan diets. The staff was knowledgeable and offered customized dishes to fit with our dietary restrictions.,5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r872911408-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,KZSNY,20th Anniversary Celebration,"The food was outstanding, with many tasting add-ons to our selections, as Jean George Restaurants are known for. Each course was delicious and took our taste buds to new places. Even my 11 and 14 year old girls were amazed. Plus the service was amazing and the staff superb, from being greeted personally by Marc who k ew us before we even announced our names to our caretaker for the night, Julien, who toon wonderful care us. We highly recommend this fabulous place.",5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r872152187-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Wanderer48859192623,AMAZING DINNER IN BORA BORA,"Best dinner in Bora Bora! We had a amazing server. Make sure to order
The meals with two steps worth it!! Amazing drinks with the sunset view!",5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r871298776-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,kangaroo2010,Fabulous experience,"I hate having high expectations at restaurants because they rarely live up to the hype. Lagoon Restaurant actually exceeded our expectations. The food was delicious and extremely flavorful, the portions were quite generous (we ordered just a few items off the a la carte menu but were stuffed by the end), and the service was truly remarkable. Desi, our server, practically pirouetted across the dining room from table to table, and had just a wonderful demeanor, as if she were so excited for you to have the next course. Easily the best restaurant we visited in Bora Bora.",5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r870977387-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,noori02,Daisy at the Saint Regis,Absolutely perfect service. The food is delicious and the service is 5 star VIP. Daisy treated us like we were the only folks in the restaurant. Pricey but well worth the experience. Fast service and chef compliments throughout the night.,5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r870910824-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Chikoda,Simply Elegant!,"A perfect evening spent at the Lagoon Restaurant for my lover and I. Lucille, our server was lovely…as were her recommendations. ♥️",5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r870578466-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,899frederickb,An epicurean oasis located in paradise island.,"Every thing about this place exudes taste and beauty. Located at the St. Regis resort in Bora Bora this restaurant is surrounded by incredible views and warm waters, the menu presents a unique array of food beautifully prepared, the service is exceptional. From the cocktails at the deck to the meal in the main restaurant you will have an unforgettable experience.",5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r870025954-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,jacquelow,Wonderful Presentation and Amazing Food,The food was amazing and plated beautifully as we enjoyed a delicious dinner at the Lagoon at St. Regis. Definitely putting it on our list when we go back.,5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r869426759-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,woollybuggercreative,Unexpectedly magnifique,"Lagoon was just incredible! From the outdoor view of the sea to the highly creative courses and wine selections, we were blown away. Will be one of the highlights of the trip!",5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r869419904-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,FrequentFlier719998,Wow!,"Dinner at Lagoon was better than any other Jean George restaurant in the US and our waitress, Lucille, was beyond attentive and made the experience better than we could have imagined. We returned to the restaurant twice and were so excited to have her again.",5
3,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r869408686-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,csedgar18,"Amazing Food, Ambiance & Service","My wife and I went to Lagoon 3 times during our recent honeymoon stay at the St. Regis. We absolutely loved it, it was definitely our favorite onsite restaurant. The service and food were both outstanding, with the lagoon fish, beef - truffle & lamb - thyme entrees being some of our favorites. The chocolate souffle dessert is also a must, we got it twice. Special thanks to Lucille, who was our waitress twice and was outstanding. Our waitress the other night and the bartender were also really great, but unfortunately we did not get their names. We liked all of the drinks we tried, especially the tiramisu dessert cocktail. Lovely ambiance as well, with beautiful views of the bungalows/mountain and see through floors with fish below. Definitely go to Lagoon if you are in Bora Bora!",5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r869281053-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Donna C,The most amazing meal,Exceptional cuisine! Fantastic views and amazing service. Our waiter Clermont was extremely knowledgeable of the food and wine pairing it made our experience extra special.,5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r868378875-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,G4201LNleoc,Wonderful,"An amazing experience. The beautiful views of course. But also the food. Even the amuse bouche, the pre dessert pallette cleanser, and the post-dessert treat (all 3 of which were in 3 parts) were great. We had the octopus and shrimp appetizers, the lamb and mahi mahi entrees, and the sorbet and chocolate cake (cake doesn’t really describe it) desserts. All just magnificently executed.",5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r867984068-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Diana G,Most amazing dining experience!,The best restaurant at the St. Regis! My husband and I ate here on our first night of our honeymoon and it was absolutely amazing. The dining experience they give you is like no other! We have 2 other nights booked here and we can’t wait to come back!,5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r867643525-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,844josephb,Great service and food!,Amazing food! My wife and I ate here the first night of our honeymoon and it couldn’t have been a better way to start the trip. Presentation was great and the service from Clemente was incredible. He even gave us a small gift at the end of our meal to congratulate us!,5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r867481901-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Trudi G,Beautiful and Yummy!,We ate 3 times there during our 12 night stay...there is an outside area but we choose inside...restaurant is very elegant but casual if you want...great wine selection and food is so delicious and unusual...windows all around so you see the sea and also windows in floor all over restaurant to see fish...,5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r867280868-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,HarshV81,Great food including vegetarian options,We are vegetarian and we had a great time at this restaurant. The food was amazing and the server was great.,5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r867160570-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Getaway68426736266,Excellent!,We ate here twice on our 5 night stay at the st Regis. I have to say we enjoyed every bite. I can’t remember the first person who served us but she was excellent. Clement was the 2nd person to serve us. He was lovely and an excellent server We loved to hear about every dish served !!!!,5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r866924205-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,feinschmecker123,Great service and tasty honeymoon dinner,"Great dinner with highly attentive service. Desi made our stay very pleasant.
Plenty of surprises from the kitchen.
Recommended!",5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r866791078-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,ZHBasil,Fabulous!,"Everything was excellent! The view, service, drinks and food were perfection. We enjoyed the chef’s 5 course selection and wine pairing. Desi was attentive and provided top notch service. Highly recommend this restaurant.",5
4,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r866680843-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,PiriJo2022,Gourmet dinner at honeymoon,Fastastic views. Really good food. We choose to ate tasting dinner. Before we got our table we sat outside in terrace watching mt otemanu. Miss that view. I recommend this restaurant to taste even once when in St Regis.,5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r864829035-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Danielle C,Amazing food and views,"Come here for the sunset views, the drinks are incredible (we loved the honeymoon sour), don’t leave without trying the mahi mahi and the beef! Also the molten chocolate cake is amazing. Our server Vahine was incredibly sweet and helpful when picking our meals, service was equally wonderful.",5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r864553689-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,BRUNO G,"Great food, great service and amazing view!!","We had a reservation for 630. We arrived at 5h30 for a drink at the 727 bar which is attached to the restaurant. The views and sunset from the bar is amazing, however make sure you have a hat and sunglasses as it can get very warm and hard on the eyes.

Service at diner was really good, they brought several ""amuse bouche"". I'm not big on fancy food or fish but my wife absolutely loved her meal, she said it was likely the best she ever had. I believe she had the Mahi Mahi has a main course. I had the chicken which was good. I had the chocolate cake for desert which was amazing! It takes 15 minutes as they bake it so if you don't want to wait, order it early. Again, views from the restaurant are amazing but we found that towards the end of the mail, the glare from the lights in the windows made it hard to see the mountain. I feel like a 6h30 reservation with a pre-drink is best timing you could do.

I would highly recommend going to this place, it's a once in a lifetime experience with the views.",5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r863901472-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Dream93591,Desi was FANTASTIC!!,"Amazing!!!
Not only the food….which was extraordinary in its own. The service was SPECTACULAR by Desi! Every recommendation was magnificent as well as her attentiveness. Truly fabulous!!",5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r863759259-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Barton K,Great food and service!,Fantastic! Very accommodating to gluten free and special occasion. Jean Marie was amazing! Very professional. Would visit again!,5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r863286714-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Lawrence-252M,PHENOMENAL!,"Probably one of the finest dining experiences of my life, and certainly the most sought after reservation in French Polynesia, Jean Georges Lagoon at the St. Regis Bora Bora did not disappoint! The chef started off with an incredible amuse-bouche of three tasty creations + a petite croque monsieur served on the most beautiful dinnerware I’ve ever seen by PORDAMSA — next was octopus and the final course was a two-step beef entrée - shredded truffle beef confit and beef truffle tataki gratin. No dessert but the brought a few bites anyway! SPECTACULAR like I cannot explain enough! My server, Maxine, was superb!",5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r862981216-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Samuel C,The absolute pinnacle of dining excellence.,"Absolutely amazing restaurant - possibly the best overall culinary experience we’ve had during our travels around the world.

Unbelievable location and setting. Stunning views with a wonderful atmosphere and ambience. One evening, we even had the joy of watching a turtle swimming past in the crystal clear waters directly beneath us.

Fantastic cocktail list. Proper handcrafted drinks made by clearly very talented bar staff. If wine is your thing, the wine list appeared very extensive as well.

The food served here is some of the finest food I have ever had the pleasure of eating. The menu focuses mainly on local influences within fancy French cuisine. These two culinary styles are a match made in heaven and produce outstanding flavours. Simply put, every meal we ate here was of the absolute highest quality and some of the most delicious food we have ever eaten.

The service staff are warm, welcoming and beyond professional. Our waitress - Desi - was a true credit to the restaurant and really helped to make our meals and overall experience special each and every time.

Whilst it may not be cheap to dine here, it is worth it a thousand times over. I would still describe the restaurant as good value as there are many restaurants out there that charge a lot more for nowhere near this highest level of service and dining.

Without doubt, this is the best restaurant in Bora Bora and easily one of the best in the world. Not to be missed.",5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r862825598-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,PaigeLouise2536,Honeymoon dinner,"Maxine was absolutely incredible as our hostess. The food was second to none as well. The views obviously speak for themselves and are breathtaking.
Highly recommend for a wonderful night.",5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r862703616-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Almawar14,Phenomenal French food,"Our entire meal was exquisite from start to finish. Our waitress, Maxine made sure everything was perfect. As an appetizer we did the tuna tataki with caviar and it was delicious. Perfectly citrusy and fresh. My husband and I did the ribeye for two. Words cannot express how tender and juicy Our steak was. We followed it with desert and some port. Overall, the culinary highlight of our trip.",5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r862693905-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Sam T,Very nice evening,Very nice evening in the Lagoon Restaurant. The food and service was really good and our waitress Celine was amazing!,5
5,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r862086134-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,I3021JDmichaelc,"Great food, better service!","Desi, and GG were our servers at lagoon and both were friendly, professional and took a care with us that was exceptional. Also their knowledge of the food was a plus to the amazing menus at Lagoon, Bamboo and Far Niente.
Thanks for making our trip and the marriage ceremony very memorable. Special thanks to Shaya who was our server after dinner on the beach who shared with us very personal and lovely dance.",5
